"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","",""
"399","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","072","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","",""
"404","001","","261","3.658","51.3","31.4","13.8","1.9","0.8",".",".","0.4
0.4",".",".",".",".",".",".","."
"404","002","","69","3.597","46.4","29.0","17.4","2.9","1.4",".",".","2.9
.",".",".",".",".",".",".","."
"Pathophys Princ-Hum Disease","Course Total","","330","3.646","50.3","30.9","14.5","2.1","0.9",".",".","0.9
0.3",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"750
Cellulr & Moleclr Biol/Path","001","","25","3.863","76.0","20.0","4.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"807
Immunopathology","001","","13","3.417","7.7","61.5","23.1",".",".",".",".","7.7
.",".",".",".",".",".",".","."
"809
Moleculr Mechanisms of Disease","001","","9","3.833","66.7","33.3",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"901
Student Seminar / Journal Club","001","","41","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"920","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"920","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"920","011","","2","***","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerkship","Course Total","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"921","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"921","007","","17","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"921","008","","16","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"921","011","","14","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"921","012","","9","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Transfusion Med Customized","Course Total","","59","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"926
Pathol:Cl Microbiol-Marshfl","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"949
Clinical Laboratory Genetics","043","","4","***","","","","","","","","",".",".",".",".",".",".","."
"950","005","","4","***","","","","","","","","",".",".",".",".",".",".","."
"950","008","","30","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"950","012","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Infectious Disease Detectives","Course Total","","41","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"960
Pathology for Surgeons","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"970
Omics Data Analysis","008","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","",".",".",".",".",".",".","."
