"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"","699
072","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
093","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Pharmacy Practice","710
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
006","","14","3.714","78.6",".","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","740
007","","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
008","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","44","3.824","79.5","11.4","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","741
006","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
007","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
008","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
214","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","54","3.967","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
006","","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","742
007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
008","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","","50","3.953","96.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","743
006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
007","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","746
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","746
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","760
006","","60","3.875","85.0","6.7","6.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","760
007","","60","3.850","83.3","8.3","5.0","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"","760
008","","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","760
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
115","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
180","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
185","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
193","","1","***","","","","","","","","","",".",".",".",".",".",".","."
