"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","",""
"542
Veterinary Ophthalmology","001","","99","3.444","32.3","24.2","28.3","1.0","4.0",".",".","10.1
.",".",".",".",".",".",".","."
"544
Surgery Fundamentals","001","","93","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"631
Large Animal Surgery","001","","99","3.277","21.2","23.2","24.2","11.1","4.0",".",".","16.2
.",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","99","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","99","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"642","001","","30","4.000","6.7",".",".",".",".",".",".","93.3
.",".",".",".",".",".",".","."
"642","002","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","33","4.000","12.1",".",".",".",".",".",".","87.9
.",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","22","4.000","27.3",".",".",".",".",".",".","72.7
.",".",".",".",".",".",".","."
"645","001","","34","4.000","20.6",".",".",".",".",".",".","79.4
.",".",".",".",".",".",".","."
"645","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","36","4.000","19.4",".",".",".",".",".",".","80.6
.",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","35","4.000","20.0",".",".",".",".",".",".","80.0
.",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","19","4.000","10.5",".",".",".",".",".",".","89.5
.",".",".",".",".",".",".","."
"675","001","","19","4.000","63.2",".",".",".",".",".",".","36.8
.",".",".",".",".",".",".","."
"675","004","","31","4.000","93.5",".",".",".",".",".",".","6.5
.",".",".",".",".",".",".","."
"675","005","","3","***","","","","","","","","",".",".",".",".",".",".","."
"675","006","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"675","007","","4","***","","","","","","","","",".",".",".",".",".",".","."
"675","010","","38","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"675","011","","2","***","","","","","","","","",".",".",".",".",".",".","."
"675","019","","93","3.652","53.8","17.2","24.7",".",".",".",".","4.3
.",".",".",".",".",".",".","."
"675","020","","99","3.763","65.7","19.2","12.1","1.0",".",".",".","2.0
.",".",".",".",".",".",".","."
"Special Topics","Course Total","","300","3.787","57.3","11.7","11.7","0.3",".",".",".","19.0
.",".",".",".",".",".",".","."
"676
Special Species Health","001","","99","3.446","34.3","23.2","31.3","2.0","3.0",".",".","6.1
.",".",".",".",".",".",".","."
"677
Vet Dentistry Elective","001","","76","4.000","78.9",".",".",".",".",".",".","21.1
.",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","033","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","036","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","044","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","42","4.000","64.3",".",".",".",".",".",".","35.7
.",".",".",".",".",".",".","."
