"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"PHYSICAL THERAPY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","",""
"Principles-Pro Practice&Adm","512
001","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of PT Intervention","534
001","39","3.795","59.0","41.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychosoc Aspects of Hlth Care","540
001","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Practice Issues in PT","543
001","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cl Decision Mkng:Neuromus Mech","628
001","39","3.744","51.3","46.2","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Control Dysfunction II","636
001","40","3.675","42.5","50.0","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Inquiry-Phy Ther","640
001","39","3.769","56.4","41.0","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss in Rehab Rsch II","643
001","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Medicine II","665
001","39","3.641","33.3","61.5","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musculoskeletal Dysfunction II","677
001","40","3.563","20.0","72.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Internship I","700
002","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship VI","705
001","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship VII","706
001","38","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","799
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
009","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHY THER
745","Dept. Total","528","3.743","45.3","23.5","1.9",".",".",".",".","7.2",".","22.2",".",".",".",".",".","."
