"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","",""
"699","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","294","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","295","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","298","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","299","","5","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"750
Vision Science","001","","8","3.813","62.5","37.5",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"911
Intro to the Visual System","043","","3","***","","","","","","","","",".",".",".",".",".",".","."
"919","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"919","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"919","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"919","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Individual Phase 3 Clinical","Course Total","","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
