"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","",""
"","974
008","","13","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","974
012","","5","***","","","","","","","","",".",".",".",".",".",".","."
"Patient Ed. as Advocacy Strat.","Course Total","","38","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Multidis Appr Colon Cancer P/T","975
005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Science of Obesity & Diabetes","976
004","","10","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Inj & Viol Prev","977
042","","3","***","","","","","","","","",".",".",".",".",".",".","."
"SURGERY
936","Dept. Total","","169","3.991","26.0","0.6",".",".",".",".",".","72.8
.",".",".",".",".",".","0.6","."
