"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","",""
"699","023","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","030","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","034","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","043","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","048","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","049","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","097","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","296","","5","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","42","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"714
Practicum-Genetic Counselng","005","","8","3.875","75.0","25.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"724
Cancer Genetics Risk Assess","001","","8","3.938","87.5","12.5",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"737
Contemp Pro Iss-Gen Cnslng","001","","16","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"740
Lab Genet and Genom for the GC","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"742
Embryology & Prenatal Genetics","001","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"745
Smr: Med Genetic Counsel Rsrch","001","","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"814
Adv Pract-Genetic Counselng","005","","8","3.892","75.0","25.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"910","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","101","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch in Peds","Course Total","","5","***","","","","","","","","","","","","","","",""
"919","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Individual Clinical in Pediats","Course Total","","3","***","","","","","","","","","","","","","","",""
"930
Peds NICU","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"935","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"935","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"935","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Surgical Neonatal ICU","Course Total","","3","***","","","","","","","","","","","","","","",""
"938","043","","4","***","","","","","","","","",".",".",".",".",".",".","."
"938","046","","3","***","","","","","","","","",".",".",".",".",".",".","."
