"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","215","3.568","41.9","5.6","12.6","0.9","0.5","2.8","0.5","31.2","4.2",".",".",".",".",".",".","."
"","365
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","11","3.400","18.2","36.4","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","365
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","32","3.647","71.9","12.5","12.5",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","45","3.568","33.3","31.1","13.3","4.4",".",".",".","17.8",".",".",".",".",".",".",".","."
"","660
002","69","3.808","71.0","10.1","13.0",".",".",".",".","5.8",".",".",".",".",".",".",".","."
"","660
003","71","3.921","87.3","7.0","4.2",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"Risk Analytics & Behav Science","Course Total","140","3.867","79.3","8.6","8.6",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","765
002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","40","3.688","45.0","47.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","46","3.759","50.0","43.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Risk Managemnt&Insuranc","875
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","4","***","","","","","","","","","","","","","","","",""
"","999
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","Course Total","2","***","","","","","","","","","","","","","","","",""
