"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Introductory Econometrics","410","001","119","3.360","23.5","17.6","9.2","9.2","1.7","1.7",".","35.3","1.7",".",".",".",".",".",".","."
"","420","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","420","002","9","3.500","33.3","22.2","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","420","003","16","3.455","12.5","43.8","6.3","6.3",".",".",".","25.0","6.3",".",".",".",".",".",".","."
"Urban & Regional Economics","","Course Total","29","3.405","17.2","31.0","17.2","6.9",".",".",".","20.7","6.9",".",".",".",".",".",".","."
"Analytical Public Finance","441","001","37","3.365","24.3","21.6","13.5","8.1",".","2.7",".","21.6","8.1",".",".",".",".",".",".","."
"Wages and the Labor Market","450","002","41","3.182","14.6","19.5","31.7","9.8","4.9",".",".","19.5",".",".",".",".",".",".",".","."
"","455","001","119","3.737","67.2","18.5","11.8",".","0.8",".","0.8","0.8",".",".",".",".",".",".",".","."
"","455","002","47","3.774","68.1","19.1","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behavioral Economics","","Course Total","166","3.748","67.5","18.7","12.0",".","0.6",".","0.6","0.6",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458","001","40","3.741","42.5","22.5","7.5",".",".",".",".","27.5",".",".",".",".",".",".",".","."
"Economic Forecasting","460","001","38","3.609","44.7","15.8","21.1","2.6",".",".",".","13.2","2.6",".",".",".",".",".",".","."
"International Trade","464","001","88","3.257","14.8","22.7","26.1","9.1","2.3",".",".","23.9","1.1",".",".",".",".",".",".","."
"American Economy Since 1865","466","001","39","3.259","12.8","17.9","30.8","7.7",".",".",".","28.2",".",".",".",".","2.6",".",".","."
"Indus Organizat/Imperf Comp","468","002","28","3.630","50.0","10.7","14.3","7.1",".",".",".","17.9",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","49","3.922","79.6","10.2","2.0",".",".",".",".","8.2",".",".",".",".",".",".",".","."
"Economics of Growth","475","001","45","3.444","26.7","20.0","31.1","2.2",".",".",".","17.8","2.2",".",".",".",".",".",".","."
"Markets with Frictions","503","001","53","3.887","83.0","11.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521","001","68","3.492","30.9","29.4","27.9",".","1.5",".",".","10.3",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","34","3.548","26.5","47.1","17.6",".",".",".",".","5.9",".",".",".",".","2.9",".",".","."
"Fund Data Analytics for Econ","570","001","78","3.875","75.6","19.2","2.6",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Honors-Research Proj Design","580","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","581","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Issues in Internatl Macro","661","001","12","3.727","66.7",".","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Energy Economics","671","001","21","3.200","38.1","14.3","23.8","4.8","4.8","9.5",".",".","4.8",".",".",".",".",".",".","."
"","690","002","38","3.743","50.0","36.8","5.3",".",".",".",".","5.3","2.6",".",".",".",".",".",".","."
"","690","003","30","3.933","90.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","004","22","3.737","40.9","45.5",".",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"Topics in Economics","","Course Total","90","3.810","61.1","28.9","3.3",".",".",".",".","5.6","1.1",".",".",".",".",".",".","."
"Senior Thesis","692","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","14","3.970","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics I","701","001","54","3.667","42.6","40.7","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
