"","921
002","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","921
004","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","921
013","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Inpatient Neuro ICU Elective","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEURSURG
678","Dept. Total","","45","4.000","93.3","",".","",".","",".","",".","",".","",".","6.7",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","16","4.000","100.0","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","","23","4.000","100.0","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","42","4.000","100.0","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","45","4.000","93.3","",".","",".","",".","",".","",".","",".","6.7",".",".","",".","",".","",".",".",".","."
