"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Pharm Practice Experience II","426","001","127","3.969","23.6","1.6",".",".",".",".",".",".",".",".",".",".","74.8",".",".","."
"Prof Develop & Engagement I","462","001","127","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Develop & Engagement III","464","001","135","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Develop & Engagement IV","465","001","139","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Interprof Collab Pract in HIV","467","001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Pharmacy Informatics","468","001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","001","43","3.930","86.0","14.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","42","3.881","78.6","19.0","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","35","3.929","88.6","8.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","005","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","008","64","4.000","98.4",".",".",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"","490","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","","Course Total","211","3.942","90.5","8.1","0.9",".",".",".",".","0.5",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience IV","526","001","134","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills II","554","001","135","3.844","72.6","23.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556","001","136","3.585","46.3","31.6","16.2","3.7","0.7","0.7",".","0.7",".",".",".",".",".",".",".","."
"Intro: Antimicrobial Therapy","559","002","56","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Drug Literature Evaluation","570","001","135","3.552","33.3","45.9","17.0","3.0",".",".",".","0.7",".",".",".",".",".",".",".","."
"Phrmcotherpeut-Adv Prac Nurses","605","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiopharmaceuticals","612","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro - Phm Prac Experience VI","626","056","139","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice Innovation II","629","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650","001","136","3.611","48.5","30.9","14.7","3.7","1.5",".",".","0.7",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills IV","654","001","140","3.714","58.6","27.1","12.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","656","001","141","3.585","44.0","36.9","12.1","6.4","0.7",".",".",".",".",".",".",".",".",".",".","."
"Sem Pediatric Pharmacotherapy","657","001","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Critical Care","668","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar:Global Health Pharmacy","673","001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminars in Mental Health Care","674","001","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Oncology","678","002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Diabetes Management","679","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","3","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 432 of 447",""
