"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","95","",".",".",".",".",".",".",".","96.8",".",".",".",".","3.2",".",".","."
"Sm Animal Emrgncy&Crit Care I","576
001","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","99","4.000","96.0",".",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","95","3.372","28.4","17.9","38.9","3.2","2.1",".",".","9.5",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","99","3.484","36.4","23.2","29.3","5.1",".",".",".","6.1",".",".",".",".",".",".",".","."
"Swine Medicine","635
001","99","3.494","45.5","8.1","32.3","1.0","4.0",".",".","9.1",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","21","4.000","81.0",".",".",".",".",".",".","19.0",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","21","4.000","38.1",".",".",".",".",".",".","61.9",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","670
001","31","4.000","19.4",".",".",".",".",".",".","80.6",".",".",".",".",".",".",".","."
"","670
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","34","4.000","23.5",".",".",".",".",".",".","76.5",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
001","38","4.000","34.2",".",".",".",".",".",".","65.8",".",".",".",".",".",".",".","."
"","675
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
006","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
007","25","4.000","16.0",".",".",".",".",".",".","84.0",".",".",".",".",".",".",".","."
"","675
008","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
009","95","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
010","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
011","47","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
015","93","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
021","99","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","99","4.000","5.1",".",".",".",".",".",".","94.9",".",".",".",".",".",".",".","."
"","675
024","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","572","4.000","6.3",".",".",".",".",".",".","93.7",".",".",".",".",".",".",".","."
"","678
001","47","4.000","51.1",".",".",".",".",".",".","48.9",".",".",".",".",".",".",".","."
"","678
002","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","53","4.000","45.3",".",".",".",".",".",".","54.7",".",".",".",".",".",".",".","."
"","679
001","18","4.000","61.1",".",".",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","679
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Oncology","Course Total","19","4.000","63.2",".",".",".",".",".",".","36.8",".",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
