"TERM : 1204","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2019-2020","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","","Section
#","Ave","A","AB","B","BC","C","D","","F","S/SD U/UD","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"132","AGRONOMY","","","","","","","","","","","","","","","","","","","","",""
"132","AGRONOMY","211
Dept. Total","3.732","55.9","12.8","8.1","1.4","0.9","",".","0.5","13.3",".",".","",".","7.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S/SD","U/UD","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"132","AGRONOMY","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
