"TERM : 1204","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2019-2020","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"","BIOSTATISTICS & MED INFORMA Section","#","Ave","A","AB","B","BC","C","","D","","F","","S/SD U/UD","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"210","B M I","","","","","","","","","","","","","","","","","","","","","","",""
"210","B M I","167
Dept. Total","3.930","82.6","8.4","0.6","0.6","",".","",".","",".","5.4",".","0.6","",".","",".","1.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"210","B M I","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
