"941","003
1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"941","004
1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"941","006
1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Family Medicine Elective","Course Total
3","***","","","","","","","","","","","","","","","","","","","","","","",""
"FAM MED
370","79
Dept. Total","4.000","","5.1","",".","",".","",".","",".","",".","",".","63.3",".","31.6",".",".",".",".",".","."
"Summary by Level","#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S/SD","U/UD","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","3","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 1","14","","",".","",".","",".","",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Prof Yr 2","5","***","","","","","","","","","","","","","","","","","100.0",".",".",".",".",".","."
"Prof Yr 3","20","","",".","",".","",".","",".","",".","",".","",".","95.0",".","5.0",".",".",".",".",".","."
"Prof Yr 4","37","4.000","","2.7","",".","",".","",".","",".","",".","",".","83.8",".","13.5",".",".",".",".",".","."
"Professionals","76","4.000","","1.3","",".","",".","",".","",".","",".","",".","65.8",".","32.9",".",".",".",".",".","."
"","Dept. Total
79","4.000","","5.1","",".","",".","",".","",".","",".","",".","63.3",".","31.6",".",".",".",".",".","."
