"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"446","010","","41","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"446","011","","41","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"446","012","","8","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"446","014","","8","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prc: EL","Course Total","","400","",".",".",".",".",".",".",".",".  
.","100.0",".",".",".",".",".","."
"447
Scholarship for Evd-Bsd Pract","003","","41","3.725","51.2","39.0","7.3",".",".",".",".","2.4
.",".",".",".",".",".",".","."
"448
Leadership in Nursing","003","","41","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"470","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"470","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"470","003","","4","***","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","","10","3.500","40.0","30.0","30.0",".",".",".",".",".  
.",".",".",".",".",".",".","."
"590","001","","18","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"590","002","","5","***","","","","","","","","",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","","23","3.978","95.7","4.3",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"601","001","","25","3.960","96.0",".","4.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"601","002","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","","31","3.968","96.8",".","3.2",".",".",".",".",".  
.",".",".",".",".",".",".","."
"605
Phrmcotherpeut-Adv Prac Nurses","001","","30","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"679
Nrsg Hnrs Rsrch Sem","001","","18","3.972","94.4","5.6",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"682","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","054","","2","***","","","","","","","","",".",".",".",".",".",".","."
"682","067","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","070","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","075","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","081","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","096","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"698","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"698","053","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","2","***","","","","","","","","","","","","","","",""
"699","021","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","070","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","081","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
