"PHM","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S/SD U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","",""
"Exploring Pharmacy I","125
001","24","4.000","100.0",".",".",".","",".","",".","",".",".   
.",".",".","",".","",".","",".",".","."
"Exploring Pharmacy II","126
001","44","4.000","100.0",".",".",".","",".","",".","",".",".   
.",".",".","",".","",".","",".",".","."
"Selected Topics in Pharmacy","490
001","13","4.000","100.0",".",".",".","",".","",".","",".",".   
.",".",".","",".","",".","",".",".","."
"Appropriate Use of Abused Drug","640
001","46","3.663","56.5","21.7","19.6","2.2","",".","",".","",".",".   
.",".",".","",".","",".","",".",".","."
"PHARMACY
726","Dept. Total","127","3.852","84.3","7.9","7.1","0.8","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S/SD
U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","4.000","100.0",".",".",".","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Sophomore","","43","4.000","100.0",".",".",".","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Junior","","13","4.000","100.0",".",".",".","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Undergraduates","","68","4.000","100.0",".",".",".","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Prof Yr 2","","14","3.571","57.1","7.1","28.6","7.1","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Prof Yr 3","","45","3.789","68.9","20.0","11.1",".","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Professionals","","59","3.737","66.1","16.9","15.3","1.7","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"","Dept. Total","127","3.852","84.3","7.9","7.1","0.8","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
