"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","",""
"310
Drugs and Their Actions","001","","178","3.868","80.9","8.4","5.6",".","0.6","0.6",".","3.9
.",".",".",".",".",".",".","."
"421
Biopharm & Pharmacokinetics","001","","127","3.286","20.5","29.9","36.2","11.0","1.6",".",".","0.8
.",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"522
Pharmacology II","001","","151","3.880","86.8","4.0","6.6","1.3","0.7",".",".","0.7
.",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","131","3.557","46.6","23.7","25.2","3.8","0.8",".",".",".   
.",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","134","3.654","55.2","22.4","18.7","3.0",".",".",".","0.7
.",".",".",".",".",".",".","."
"541
Pharm Calc & Compounding","001","","127","3.858","79.5","13.4","6.3","0.8",".",".",".",".   
.",".",".",".",".",".",".","."
"626
Toxicology II","001","","12","3.455","16.7","50.0","25.0",".",".",".",".","8.3
.",".",".",".",".",".",".","."
"679
Pharmacol & Toxicology Seminar","001","","45","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","084","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","092","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","098","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","31","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"775
Polymeric Drug Delivery","001","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"932","001","","20","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"932","002","","17","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"932","003","","23","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","60","",".",".",".",".",".",".",".",".  
.","100.0",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","016","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","049","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","077","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","082","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","084","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","085","","2","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 429 of 447",""
