"TERM : 1204","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2019-2020","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANESTHESIOLOGY","","Section
#","Ave","A","AB","","B","","BC","","C","","D","","F","","S/SD U/UD","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"148","ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"148","ANESTHES","67
Dept. Total","4.000","11.9","",".","",".","",".","",".","",".","",".","86.6",".",".","",".","",".","",".",".","1.5","."
"Summary by Level","","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"148","ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Junior","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".","100.0","."
