"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Gender, Women & Cultural Rep","101","001","277","3.886","80.5","13.4","4.0","0.4",".",".",".","1.1",".",".",".",".","0.4",".","0.4","."
"Gender Women Bodies and Health","103","001","392","3.863","78.8","12.2","3.1","0.8","0.5","0.3","0.3","3.8",".",".",".",".","0.3",".",".","."
"Women in World History","134","001","28","3.661","46.4","39.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Writing","144","001","13","3.958","84.6","7.7",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Intro to Black Women's Studies","221","001","20","3.750","55.0","25.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","002","38","3.931","81.6","13.2",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","320","003","34","3.706","70.6","20.6","2.9","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"Topics-Gender, Women & Society","","Course Total","72","3.821","76.4","16.7","1.4","1.4",".",".","1.4","2.8",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","15","3.385","46.7","13.3","6.7",".","20.0",".",".","13.3",".",".",".",".",".",".",".","."
"Latinas: Self Ident&Social Chg","332","001","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Black Feminisms","333","001","28","3.679","53.6","35.7","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","340","001","38","3.932","84.2","13.2",".",".",".",".",".",".","2.6",".",".",".",".",".",".","."
"","340","002","39","3.808","71.8","17.9","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","","Course Total","77","3.868","77.9","15.6","5.2",".",".",".",".",".","1.3",".",".",".",".",".",".","."
"Topics in Gender & Literature","350","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women Modern Europe","392","001","29","3.375","20.7","27.6","27.6","6.9",".",".",".","6.9","6.9",".",".",".","3.4",".",".","."
"Contemp Fem Theatre&Critcsm","415","001","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","16","3.545","12.5","50.0","6.3",".",".",".",".","18.8",".",".",".",".","12.5",".",".","."
"Topics in Feminist Theory","449","001","36","4.000","97.2",".",".",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"Asian Amer Women Writers","464","001","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sexuality,Modernity&Soc Change","519","001","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Topics: Gender & Biology","533","002","43","3.976","93.0","4.7",".",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Queering Sexuality Education","536","001","39","3.947","87.2","10.3",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Topics in Gender and Health","539","001","43","3.800","72.1","9.3","7.0","4.7",".",".",".","7.0",".",".",".",".",".",".",".","."
"Fem Theories and Masculinities","546","001","18","3.800","50.0","33.3",".",".",".",".",".","5.6",".",".",".",".","11.1",".",".","."
"Gender and Education","560","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr in Gender & Wm St","640","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship-Gender&Women's Std","660","001","18","3.824","72.2","11.1","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Senior Thesis II","692","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","720","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","720","002","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Spec Topics-Gender&Wmn","","Course Total","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","790","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
