"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","",""
"699","023","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","031","","11","3.889","90.9",".","9.1",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","040","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","101","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","102","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","29","3.953","96.6",".","3.4",".",".",".",".",".  
.",".",".",".",".",".",".","."
"712
Critical Think Repro Endo Phys","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-OB/GYN","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"919","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"919","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"919","005","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Individualized Ob/Gyn Elective","Course Total","","9","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"934","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"934","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"934","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"934","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Obstetric Hospitalist","Course Total","","4","***","","","","","","","","","","","","","","",""
"938","043","","2","***","","","","","","","","",".",".",".",".",".",".","."
"938","046","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Obs Gyn Inpt Acting Internship","Course Total","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","19","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"956
Advanced Responsible Conduct","001","","27","",".",".",".",".",".",".",".","96.3
3.7",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","048","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","060","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","14","4.000","92.9",".",".",".",".",".",".","7.1
.",".",".",".",".",".",".","."
