"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"812","001","","9","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","002","","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","003","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","004","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","005","","14","3.393","28.6","21.4","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","006","","14","3.759","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","73","3.585","46.6","23.3","30.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Behav Med Clerk-LaCrosse","Course Total","","2","***","","","","","","","","","","","","","","","",""
"922
PsychCons&OutptClerk-CSC/VA","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"924","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","Course Total","","4","***","","","","","","","","","","","","","","","",""
"925
Community Psy Clerk-CSC/MHC","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PSYCHIAT
814","Dept. Total","","89","3.609","49.4","23.6","25.8",".",".",".",".",".",".",".",".",".",".","1.1",".","."
