"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"722
Clinicl Anatomy & Radiology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"820","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"820","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"820","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiology Selective","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Nuclr Med Clerk-CSC/VA","Course Total","","3","***","","","","","","","","","","","","","","","",""
"924","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Radiol Clerk-St Lukes","Course Total","","2","***","","","","","","","","","","","","","","","",""
