"PEDIATRICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","",""
"Independent Study","699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","812","001","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812","002","","21","3.667","47.6","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812","003","","18","3.444","16.7","61.1","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","812","004","","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","","Course Total","","70","3.629","41.4","44.3","12.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","910","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","910","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Individualized 4th Yr Clerk","919","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Pediatric Clerk-Mshfld","922","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Pediat Clerk-Green Bay","923","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambul Clin Ped Clerk-LaCros","926","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","928","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","928","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Subintrn Newborn Med-Meritr","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Adolescent Med Clerk-CSC","940","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","946","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","966","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","966","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Ped Pulmon/Allergy Clrk-CSC","967","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PEDIAT
708","","Dept. Total","","89","3.606","39.3","42.7","14.6","1.1","1.1",".",".","1.1",".",".",".",".",".",".",".","."
