"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"405
Pathophys Basis-Phmcotherpy","001","","129","2.500","7.8","6.2","20.9","27.9","26.4","10.1",".",".",".",".",".",".",".","0.8",".","."
"415
Community Pharm Externship","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"426
Intro-Pharm Care Clrkshp II","001","","118","3.932","94.9",".","4.2",".",".","0.8",".",".",".",".",".",".",".",".",".","."
"448
Team Appr-Emergncy Care","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","002","","24","3.905","75.0","8.3","4.2",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"490","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","004","","39","3.218","12.8","35.9","33.3","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"490","005","","8","3.500","25.0","62.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"490","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","046","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"490","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","99","3.664","47.5","25.3","15.2","9.1",".",".",".","3.0",".",".",".",".",".",".",".","."
"526
Intro-Phmceut Care Clrk IV","001","","97","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"556
Pharmacotherapy II","001","","100","2.805","4.0","19.0","33.0","28.0","14.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"570
Drug Literature Evaluation","001","","99","3.015","6.1","31.3","41.4","10.1","6.1","3.0","1.0",".",".",".",".",".","1.0",".",".","."
"626","003","","49","3.837","83.7",".","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"626","004","","53","3.868","88.7",".","9.4",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phmceut Care Clrk VI","Course Total","","102","3.853","86.3",".","12.7",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"656
Pharmacotherapy IV","001","","100","2.885","5.0","12.0","43.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"670
Veterinary Therapeutics","001","","19","3.839","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710","001","","19","3.167","5.3","31.6","47.4","10.5",".",".",".",".",".",".",".",".",".",".","5.3","."
"710","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","Course Total","","20","3.184","5.0","35.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0","."
"720","002","","10","2.950","20.0","10.0","30.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"720","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"720","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Respiratory Pharmacotherapy","Course Total","","13","3.077","15.4","30.8","23.1","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"722","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"722","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"722","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 371 of 386",""
