"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","105
001","","17","3.594","47.1","23.5","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","002
105","","16","3.767","56.3","31.3","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","33","3.707","51.5","27.3","12.1","3.0",".",".",".","6.1",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","","136","3.231","23.5","32.4","26.5","7.4","5.1","2.9","0.7",".",".",".",".",".",".","0.7",".","0.7"
"Field Pract/Integrat Smr I","400
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
002","","8","3.938","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
004","","12","3.807","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
401","","12","3.912","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
010","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
012","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","76","3.927","88.2","7.9","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","","242","3.842","72.7","20.7","4.5","0.4",".",".",".","1.2",".",".",".",".",".",".",".","0.4"
"Human Behavior & Environmnt","457
001","","111","3.342","24.3","36.0","31.5","3.6","2.7","1.8",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","576
001","","8","3.611","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","","26","3.980","92.3","3.8",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Social Policy","606
001","","39","3.577","51.3","23.1","17.9","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Person","622
001","","17","3.821","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Family","623
001","","19","3.971","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","","26","3.738","57.7","34.6","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Affectng Change-Socl Agency","627
001","","22","3.915","81.8","13.6",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","001
640","","44","3.738","65.9","11.4","15.9","2.3",".",".",".",".",".",".",".",".","4.5",".",".","."
"","640
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","","45","3.733","64.4","13.3","15.6","2.2",".",".",".",".",".",".",".",".","4.4",".",".","."
"","644
001","","51","3.400","33.3","27.5","29.4","5.9","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"","644
002","","9","3.786","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","60","3.450","40.0","25.0","26.7","5.0","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","646
001","","29","3.778","72.4","17.2","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","","46","3.144","30.4","17.4","21.7","6.5","21.7",".",".",".",".",".",".",".","2.2",".",".","."
"Topics-Contemp Soc Welfare","677
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.250","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Family Systems in Soc Work","715
001","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","","26","3.865","73.1","26.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 287 of 386",""
