"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"421
Intro-Drug Actn&Delivery II","001","","136","2.765","5.1","16.2","26.5","35.3","14.7","2.2",".",".",".",".",".",".",".",".",".","."
"432
Pharmceut Biochem & Biotech","001","","128","2.915","11.7","18.0","33.6","18.8","14.1","2.3","0.8",".",".",".",".",".",".",".","0.8","."
"490
Selected Topics-Pharm Sci","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"522
Pharmacology II","001","","115","2.861","15.7","12.2","29.6","24.3","14.8","1.7","1.7",".",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","105","2.833","16.2","11.4","30.5","16.2","21.9","2.9","1.0",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","104","3.543","49.0","20.2","23.1","5.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmacology","001","","16","3.250","6.3","50.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"624
Pharmacology IV","001","","115","2.822","7.0","17.4","33.0","21.7","19.1","1.7",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Substnc Abuse&Chem Dependnc","001","","45","3.151","15.6","15.6","51.1","8.9","4.4",".",".","4.4",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"770
Special Topics in Pharm Sci","001","","11","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","002","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"932","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","Course Total","","24","4.000","91.7",".",".",".",".",".",".",".",".",".",".","4.2",".",".","4.2","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","29","",".",".",".",".",".",".",".","69.0",".",".",".","31.0",".",".",".","."
"999
Advanced Independent Study","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
