"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"","812
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
002","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
812","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
005","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
007","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
009","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
010","","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
012","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","70","3.721","54.3","38.6","5.7",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","7","3.750","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"","921
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","921
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesth Clerk-LaCrosse","Course Total","","3","***","","","","","","","","","","","","","","","",""
