"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"699","005","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","166","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","29","3.969","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","001","","24","3.304","16.7","29.2","54.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","002","","22","3.432","31.8","27.3","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"812","003","","20","3.350","30.0","20.0","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"812","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prin Int Med-Basic Clrkship","Course Total","","71","3.374","26.8","25.4","45.1","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915","002","","47","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Therapeut&Cl Pharmacol-VAH","Course Total","","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","5","***","","","","","","","","","","","","","","","",""
"920","001","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","002","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","003","","16","3.469","25.0","56.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"920","004","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","005","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","Course Total","","59","3.644","45.8","40.7","11.9",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"921","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulat Med Clerk-Stdt Hlth","Course Total","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Gen Med Clerkship-VAH","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Gen Med Clerk-LaCrosse","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"939
Alcohol/Drug Abuse Cl-Mshfd","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941
Allergy Clerkshp-Marshfield","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiol Consult Serv-CSC","Course Total","","7","3.727","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"944","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"944","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 334 of 386",""
