"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Gastrointestnl Pharmacother","Course Total","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
726","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","726
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematol&Oncol Pharmacother","Course Total","","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","740
003","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","740
103","","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy Specialty Clerkshp","Course Total","","22","3.851","72.7","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","741
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
103","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","13","3.906","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
760","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
006","","10","3.500","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","007
760","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
760","","12","3.909","83.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","760
105","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
107","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
109","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pharmacy Specialty Clrk","Course Total","","56","3.809","75.0","10.7","10.7","1.8",".",".",".",".",".",".",".",".","1.8",".",".","."
"","761
005","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
006","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
007","","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","761
008","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","761
105","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
107","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Ambltry Phmct Care Clrk","Course Total","","48","3.883","79.2","16.7",".","2.1",".",".",".",".",".",".",".",".","2.1",".",".","."
"Current Iss-Phm Prac & Rsch II","772
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
