"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Energy Economics","671","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Institutional Economics","707","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","002","","48","3.096","12.5","27.1","35.4","20.8",".",".","2.1","2.1",".",".",".",".",".",".",".","."
"","713","001","","20","3.289","15.0","40.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".","5.0","."
"","713","002","","18","3.111","16.7","5.6","61.1","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","38","3.203","15.8","23.7","44.7","10.5","2.6",".",".",".",".",".",".",".",".",".","2.6","."
"","714","001","","14","3.429","50.0","7.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","714","002","","17","3.324","41.2","23.5","5.9","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","31","3.371","45.2","16.1","12.9","19.4","6.5",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","715","001","","18","3.583","50.0","22.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Applied Econometrics","718","001","","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","742","001","","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics - Public Finance","846","001","","6","3.800","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-International Economics","873","001","","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Econ Policy","880","001","","37","3.591","37.8","37.8","21.6","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","","16","3.895","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","","12","",".",".",".",".",".",".",".","91.7",".",".",".",".","8.3",".",".","."
"Quantitatve Macro-Econ Anal","966","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop - Public Economics","969","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","978","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
