"MED","","","","","","","","","","","","","","","","","","","",""
"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"","812
001","","13","3.577","23.1","69.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
812","","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","12","3.583","25.0","66.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
812","","18","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","17","3.353","29.4","23.5","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Third Year Ophthalmology","Course Total","","72","3.507","26.4","51.4","20.8",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Ophthalmology Selective","820
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","910
060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Ophthalm Clerk-Mrshfld","920
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"OPHTHALM
702","Dept. Total","","76","3.554","28.9","50.0","19.7",".","1.3",".",".",".",".",".",".",".",".",".",".","."
