"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699
Directed Study","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","001","","21","3.476","28.6","47.6","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"812","002","","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","003","","18","3.588","44.4","33.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".","5.6","."
"812","004","","19","3.447","21.1","52.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","73","3.549","38.4","38.4","17.8","1.4","2.7",".",".",".",".",".",".",".",".",".","1.4","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"922","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Inpt-Outpt Clerk-Marshfield","Course Total","","2","***","","","","","","","","","","","","","","","",""
"923
Perinatal Clerkship-Milw","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925
High Risk Obst Clrk-Meriter","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
