"HEC","","","","","","","","","","","","","","","","","","","",""
"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"100","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Special Topics","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","015","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"601","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"617
Hlth Communication-Info Age","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","Dept. Total","","26","3.711","50.0","11.5","7.7",".","3.8",".",".",".",".","26.9",".",".",".",".",".","."
