"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","154","2.556","5.8","10.4","31.2","19.5","22.1","4.5","4.5","1.3",".",".",".",".",".","0.6",".","."
"","100","002","190","2.811","8.4","16.3","31.6","23.2","16.8","1.1","1.6",".","0.5",".",".",".",".","0.5",".","."
"General Anthropology","","Course Total","344","2.698","7.3","13.7","31.4","21.5","19.2","2.6","2.9","0.6","0.3",".",".",".",".","0.6",".","."
"Archaeology & Prehist World","102","001","116","2.518","6.0","12.9","27.6","15.5","25.0","4.3","6.0","1.7",".",".",".",".",".",".",".","0.9"
"Cult Anthro&Human Diversity","104","001","535","3.103","15.7","28.4","29.7","14.0","9.0","0.7","0.7","1.3",".",".",".",".",".",".",".","0.4"
"Evolution of Human Species","107","001","202","2.483","9.9","5.4","28.7","11.9","32.2","9.4","2.5",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","16","3.375","25.0","43.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","20","3.447","35.0","20.0","35.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","78","3.592","46.2","33.3","14.1","2.6",".",".","1.3","2.6",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","6","3.000","33.3","16.7","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"Peoples & Cultures-Africa","318","001","26","3.583","38.5","30.8","23.1",".",".",".",".","3.8",".",".",".",".",".","3.8",".","."
"Emergence of Human Culture","321","001","97","2.868","24.7","8.2","24.7","9.3","26.8","2.1","2.1","2.1",".",".",".",".",".",".",".","."
"Peoples of the Andes Today","327","001","29","3.385","31.0","17.2","31.0","10.3",".",".",".","6.9",".",".",".",".","3.4",".",".","."
"Anthro of Lowland S America","329","001","29","3.962","82.8","6.9",".",".",".",".",".","3.4",".",".",".",".","6.9",".",".","."
"Topics in Ethnology","330","002","24","3.485","45.8","29.2","4.2","4.2","4.2","4.2",".","4.2",".",".",".",".",".","4.2",".","."
"Anthropology of Religion","343","001","29","3.444","58.6","13.8","3.4",".","10.3","6.9",".","6.9",".",".",".",".",".",".",".","."
"Archaeology of Wisconsin","354","001","55","3.283","36.4","20.0","14.5","20.0","1.8","3.6",".","3.6",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","22","2.250","9.1","9.1","13.6","4.5","45.5","13.6","4.5",".",".",".",".",".",".",".",".","."
"Comp Anat:Non-Human Primate","439","001","12","2.333","8.3",".","41.7",".","33.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","20","3.447","15.0","55.0","25.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Undergraduate Seminar","490","001","18","3.882","83.3","5.6",".","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"Psychological Anthropology","545","001","28","3.208","17.9","35.7","21.4",".","7.1",".","3.6","10.7",".",".",".",".","3.6",".",".","."
"Biology of Mind","619","001","25","3.417","24.0","44.0","16.0","12.0",".",".",".",".",".",".",".",".",".",".",".","4.0"
"","682","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","21","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","690","001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","690","002","19","3.444","78.9",".",".",".","5.3",".","10.5",".",".",".",".",".","5.3",".",".","."
"Problems in Anthropology","","Course Total","27","3.615","81.5",".",".",".","3.7",".","7.4",".",".",".",".",".","7.4",".",".","."
"Senior Thesis","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","035","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 159 of 386",""
