"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","98","3.818","76.5","13.3","5.1",".","3.1",".",".","1.0",".",".",".",".",".",".",".","1.0"
"Criminal Justice in America","131
001","104","3.221","26.0","22.1","28.8","11.5","9.6",".",".","1.9",".",".",".",".",".",".",".","."
"","134
001","408","3.104","16.2","22.8","36.8","13.0","6.6","0.7","1.0","2.7",".",".",".",".","0.2",".",".","."
"","134
002","75","3.424","50.7","14.7","12.0","8.0","8.0","2.7",".","1.3",".",".",".",".",".","2.7",".","."
"Am Racial&Ethnic Minorities","Course Total","483","3.142","21.5","21.5","32.9","12.2","6.8","1.0","0.8","2.5",".",".",".",".","0.2","0.4",".","."
"","138
001","98","3.299","33.7","37.8","10.2","7.1","3.1","5.1","2.0",".",".",".",".",".",".",".",".","1.0"
"","138
002","94","3.022","27.7","17.0","20.2","21.3","6.4","2.1","4.3","1.1",".",".",".",".",".",".",".","."
"The Sociology of Gender","Course Total","192","3.183","30.7","27.6","15.1","14.1","4.7","3.6","3.1","0.5",".",".",".",".",".",".",".","0.5"
"","001
160","182","2.945","21.4","18.7","23.1","15.4","15.4","3.3","2.2",".",".",".",".",".",".","0.5",".","."
"","002
160","106","3.092","18.9","20.8","32.1","14.2","9.4","1.9",".","2.8",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","Course Total","288","2.998","20.5","19.4","26.4","14.9","13.2","2.8","1.4","1.0",".",".",".",".",".","0.3",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Survey of Sociology","210
001","144","3.207","20.8","35.4","26.4","7.6","5.6","2.1","1.4",".",".",".",".",".","0.7",".",".","."
"The Sociological Enterprise","211
001","106","3.713","56.6","34.9","6.6",".","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"People&Places:Demog-Rur Am","266
001","11","3.045","27.3","18.2","9.1","27.3","18.2",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","40","3.538","40.0","30.0","25.0",".","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"Honors Tutorial","288
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
001","46","3.307","13.0","50.0","15.2","17.4",".",".",".",".",".",".",".",".","4.3",".",".","."
"","357
003","39","3.720","82.1",".","12.8",".","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","357
004","40","3.475","25.0","47.5","25.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","125","3.493","38.4","33.6","17.6","7.2","0.8",".","0.8",".",".",".",".",".","1.6",".",".","."
"","360
001","40","3.225","27.5","32.5","22.5","2.5","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","360
002","31","2.871","29.0","12.9","19.4","12.9","12.9","9.7","3.2",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","71","3.070","28.2","23.9","21.1","7.0","11.3","7.0","1.4",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","30","3.429","50.0","10.0","23.3","3.3","3.3",".","3.3","6.7",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","29","3.357","34.5","20.7","20.7","20.7",".",".",".",".",".",".",".",".",".","3.4",".","."
"Criminology","441
001","117","2.561","9.4","12.8","29.9","8.5","23.1","12.0","2.6","1.7",".",".",".",".",".",".",".","."
"Sociodem Anal-Mexican Migratn","470
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","25","2.680","24.0","16.0","20.0","8.0","12.0","12.0","8.0",".",".",".",".",".",".",".",".","."
"","475
002","50","3.207","36.0","16.0","24.0","6.0","4.0",".","6.0","4.0",".",".",".",".",".","4.0",".","."
"Classical Soc Theory","Course Total","75","3.021","32.0","16.0","22.7","6.7","6.7","4.0","6.7","2.7",".",".",".",".",".","2.7",".","."
"Contemporary Soc Theory","476
001","9","3.464","55.6","22.2",".",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","496
001","15","3.000","20.0","20.0","20.0","6.7","13.3","6.7",".","6.7",".",".",".",".",".",".",".","6.7"
"","496
002","64","3.373","32.8","26.6","28.1","6.3","3.1","1.6",".",".",".",".",".",".",".",".","1.6","."
"Topics in Sociology","Course Total","79","3.308","30.4","25.3","26.6","6.3","5.1","2.5",".","1.3",".",".",".",".",".",".","1.3","1.3"
