"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"Special Problems-Neurology","699
054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hum Muscl Func/Hlth&Disease","779
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
001","","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
002","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
812","","18","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","17","3.353","29.4","23.5","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Third Year Neurology","Course Total","","71","3.458","25.4","43.7","29.6",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","923
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","923
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Neurol-Outpt Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
