"MEDICAL HISTORY AND BIOETH Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","",""
"212
001
The Physician in History","38","3.408","23.7","39.5","34.2",".","2.6",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"284
001
Physician in Hist (Honors)","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"509
001
Dev Public Health-America","11","3.444","27.3","36.4","9.1",".","9.1",".","",".","","18.2",".","",".",".","",".","",".","",".",".","."
"531
001
Women & Health-Amer History","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"558
001
Ethical Probs-Biomed Tech","17","3.235","5.9","52.9","29.4","5.9","5.9",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"562
001
Byzantine Med & Pharmacy","13","3.438","38.5","7.7",".",".","15.4",".","",".","","38.5",".","",".",".","",".","",".","",".",".","."
"699
007
Ind Study in Med History","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"001
720
Hist Perspectives-Medicine","16","4.000","6.3",".",".",".",".",".","",".","","93.8",".","",".",".","",".","",".","",".",".","."
"999
003
Advanced Independent Study","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MED HIST
Dept. Total
452","106","3.387","20.8","31.1","18.9","0.9","4.7","",".","",".","23.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","12","3.250","8.3","33.3","58.3",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","19","3.500","26.3","57.9","10.5",".","5.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","16","3.315","25.0","31.3","37.5",".","6.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","33","3.363","30.3","27.3","15.2","3.0","9.1","",".","",".","15.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","80","3.370","25.0","36.3","25.0","1.3","6.3","",".","",".","6.3","",".",".","",".","",".","",".",".",".","."
"Special","3","3.500",".","33.3",".",".",".","",".","",".","66.7","",".",".","",".","",".","",".",".",".","."
"Graduate","7","3.625","14.3","42.9",".",".",".","",".","",".","42.9","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","15","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","16","4.000","6.3",".",".",".",".","",".","",".","93.8","",".",".","",".","",".","",".",".",".","."
"Dept. Total","106","3.387","20.8","31.1","18.9","0.9","4.7","",".","",".","23.6","",".",".","",".","",".","",".",".",".","."
