"MED","","","","","","","","","","","","","","","","","","","","","","",""
"PATHOLOGY AND LABORATOR","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","",""
"PATH
704","Dept. Total","567","3.208","18.3","18.5","46.9","8.1","2.6","",".","0.2","4.6","",".",".","",".","0.5","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","25","3.028","8.0","20.0","44.0","28.0",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","88","3.091","3.4","28.4","52.3","15.9",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","106","3.111","6.6","26.4","58.5","7.5",".","",".","0.9",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","219","3.093","5.5","26.5","54.3","13.2",".","",".","0.5",".","",".",".","",".",".","",".",".",".","."
"Special","","5","3.423",".","80.0","20.0",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","97","3.697","46.4","12.4","9.3","2.1",".","",".",".","26.8","",".",".","",".","3.1","",".",".",".","."
"Prof Yr 1","","248","3.178","20.2","12.5","55.2","6.0","5.6","",".",".",".","",".",".","",".",".","",".",".","0.4","."
"Prof Yr 2","","1","2.000",".",".",".",".","100.0","",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","251","3.179","20.7","12.4","54.6","6.0","6.0","",".",".",".","",".",".","",".",".","",".",".","0.4","."
"","Dept. Total","572","3.208","19.1","18.4","46.5","8.0","2.6","",".","0.2","4.5","",".",".","",".","0.5","",".",".","0.2","."
