"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"812","001","","19","3.207","15.8","21.1","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"812","002","","27","3.370","29.6","22.2","40.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"812","003","","20","3.234","5.0","40.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Surgery","Course Total","","66","3.283","18.2","27.3","47.0","7.6",".",".",".",".",".",".",".",".",".",".",".","."
"821
Cardiothoracic Surg Selectv","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"824
Neurosurgery Selective","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"825
Otolaryngology Selective","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Gen Surgery Clerkship-CSC","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","10","3.250","10.0","20.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","8","3.808","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Gen Surg Clerkship-LaCrosse","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Gen Surg Clerk-Marshfield","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Breast Disease","Course Total","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"935","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"935","008","","19","3.500","26.3","42.1","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"935","011","","18","3.361","27.8","27.8","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Neurosurgery Clerkship-CSC","Course Total","","39","3.464","28.2","35.9","33.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"940","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 360 of 386",""
