"EDU","","","","","","","","","","","","","","","","","","",""
"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","38","3.684","65.8","23.7","2.6","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","105
001","8","3.500","25.0","25.0","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","105
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","11","3.750","45.5","18.2","18.2",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Medical Terminology","148
001","54","3.833","87.0","3.7","7.4",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"Adaptatn-Pediatric Disordrs","534
001","43","3.570","30.2","55.8","11.6","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Pediatrc Occ Ther","537
001","43","3.744","62.8","23.3","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkshp-Independent Living","544
001","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatns-Independnt Living","545
001","43","3.698","41.9","55.8","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","546
001","16","3.375","37.5",".","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","546
002","13","3.462","15.4","61.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","Course Total","29","3.414","27.6","27.6","44.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Scientific Inquiry","570
001","43","3.872","83.7","7.0","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Management","636
001","43","3.593","25.6","67.4","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties II","640
001","43","3.430","23.3","46.5","23.3","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Phys Disabilities","641
001","43","3.628","58.1","20.9","11.6","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork in Mental Health","662
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork-Physical Disabil","664
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","670
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","670
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Fieldwork","Course Total","4","***","","","","","","","","","","","","","","","",""
"Directed Study","699
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","791
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","799
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"THER SCI
939","Dept. Total","488","3.632","55.5","28.7","11.1","1.6","0.4","0.2","0.2","0.4",".","1.6",".","0.2",".",".",".","."
