"POPULATION HEALTH SCIENCE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"People, Chemicals, Envrnmnt","308","001","","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Health Care","548","002","","17","3.933","76.5","11.8",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Biological Processes-Aging","575","001","","18","3.083","22.2","11.1","44.4","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"Clinicl&Pub Hlth Microbiol","603","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","650","009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","6","3.909","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Mthds-Health Managers","724","001","","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Capital Finance Mgmt-Med Mgrs","734","001","","25","3.708","48.0","40.0","8.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Strategic Planning-Med Mgrs","736","002","","25","3.652","44.0","32.0","16.0",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"Marketing Research-Med Mgrs","738","001","","17","3.906","76.5","17.6",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Strategy&Meth-Epidemiology","797","001","","16","3.923","68.8","12.5",".",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"Epidemiologic Methodology","798","001","","20","3.575","50.0","20.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Statistics in Epidemiology","800","001","","22","3.705","50.0","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiology-Infect Disease","801","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Health Management","872","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","","25","3.792","68.0","16.0","12.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Assess-Medical Technologies","","Course Total","","40","3.859","77.5","12.5","7.5",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"Hlth Mgmt Ethics&Leadership","889","002","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Epidemiol Elect-Div of Hlth","911","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","915","003","","14","3.786","78.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","13","4.000","7.7",".",".",".",".",".",".","92.3",".",".",".",".",".",".",".","."
