"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC
728","Dept. Total","1085","3.346","48.1","12.9","18.6","11.6","5.7","1.7","0.2","0.3","",".",".","",".","0.5","0.3","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"Junior","","9","3.333","33.3",".","33.3","22.2","11.1",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","32","3.649","50.0","15.6",".","12.5","15.6",".",".","3.1","",".",".","",".",".",".","3.1",".","."
"Undergraduates","","41","3.611","46.3","12.2","7.3","14.6","14.6",".",".","2.4","",".",".","",".",".",".","2.4",".","."
"Special","","19","3.175","15.8","36.8","21.1","15.8","10.5",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","10","3.700","20.0","30.0",".",".",".",".",".",".","",".",".","",".","50.0",".",".",".","."
"Prof Yr 1","","276","3.449","55.1","7.2","11.6","10.9","10.1","5.1",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","313","3.085","39.0","16.0","23.6","12.8","6.4","1.3","0.6",".","",".",".","",".",".","0.3",".",".","."
"Prof Yr 3","","294","3.199","44.2","12.6","25.9","14.3","2.0",".",".","0.7","",".",".","",".",".",".",".","0.3","."
"Prof Yr 4","","132","3.800","71.2","13.6","9.8","3.8",".",".",".",".","",".",".","",".",".","1.5",".",".","."
"Professionals","","1015","3.335","49.1","12.3","19.2","11.5","5.3","1.8","0.2","0.2","",".",".","",".",".","0.3",".","0.1","."
"","Dept. Total","1085","3.346","48.1","12.9","18.6","11.6","5.7","1.7","0.2","0.3","",".",".","",".","0.5","0.3","0.1","0.1","."
