"EDU","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","250","2.512","9.2","14.0","20.4","10.8","29.2","10.8","2.4","2.8",".",".",".",".","0.4",".",".","."
"","102
001","12","3.278","33.3","25.0","8.3",".",".",".","8.3","25.0",".",".",".",".",".",".",".","."
"","102
002","10","3.556","40.0","20.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","22","3.417","36.4","22.7","18.2",".",".",".","4.5","18.2",".",".",".",".",".",".",".","."
"","111
001","23","3.694","34.8","39.1","4.3",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"","111
002","21","3.633","23.8","42.9","4.8",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","111
003","14","3.750","28.6","28.6",".",".",".",".",".","35.7",".",".",".",".","7.1",".",".","."
"Self-defense&Assault Prevnt","Course Total","58","3.683","29.3","37.9","3.4",".",".",".",".","27.6",".",".",".",".","1.7",".",".","."
"","125
001","18","4.000","27.8",".",".",".",".",".",".","66.7",".",".",".",".",".",".","5.6","."
"","002
125","14","4.000","14.3",".",".",".",".",".",".","71.4",".",".",".",".",".",".","14.3","."
"","003
125","13","4.000","46.2",".",".",".",".",".",".","46.2",".",".",".",".",".",".","7.7","."
"","125
004","16","3.857","37.5",".","6.3",".",".",".",".","43.8",".",".",".",".",".",".","12.5","."
"Adapted Fitness&Pers Traing","Course Total","61","3.950","31.1",".","1.6",".",".",".",".","57.4",".",".",".",".",".",".","9.8","."
"","127
001","23","2.929",".","8.7","13.0","4.3","4.3",".",".","65.2","4.3",".",".",".",".",".",".","."
"","127
002","18","2.611",".","5.6","16.7","22.2",".","5.6",".","50.0",".",".",".",".",".",".",".","."
"","127
003","19","3.200",".","26.3","21.1","5.3",".",".",".","47.4",".",".",".",".",".",".",".","."
"","127
004","17","3.100",".","29.4","17.6","5.9","5.9",".",".","41.2",".",".",".",".",".",".",".","."
"Bowling I","Course Total","77","2.972",".","16.9","16.9","9.1","2.6","1.3",".","51.9","1.3",".",".",".",".",".",".","."
"Intro to Yoga Practice","129
001","38","3.556","13.2",".",".",".",".",".","2.6","84.2",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","130
001","18","3.545","33.3","11.1","11.1",".","5.6",".",".","38.9",".",".",".",".",".",".",".","."
"","131
001","22","3.346","22.7","22.7",".",".","13.6",".",".","40.9",".",".",".",".",".",".",".","."
"","131
002","18","3.750","55.6","16.7",".",".","5.6",".",".","22.2",".",".",".",".",".",".",".","."
"","003
131","19","2.615","5.3","21.1","10.5","21.1",".",".","10.5","31.6",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","59","3.250","27.1","20.3","3.4","6.8","6.8",".","3.4","32.2",".",".",".",".",".",".",".","."
"","132
001","19","3.577","36.8","5.3","15.8",".","5.3",".",".","36.8",".",".",".",".",".",".",".","."
"","132
002","18","3.577","44.4","5.6","16.7",".","5.6",".",".","27.8",".",".",".",".",".",".",".","."
"","003
132","24","3.500","33.3","12.5","4.2",".",".",".","4.2","41.7","4.2",".",".",".",".",".",".","."
"","004
132","21","3.471","14.3","47.6","19.0",".",".",".",".","14.3",".",".",".",".","4.8",".",".","."
"","132
005","19","3.545","15.8","31.6","10.5",".",".",".",".","42.1",".",".",".",".",".",".",".","."
"","132
006","23","3.375","13.0","21.7","13.0",".","4.3",".",".","47.8",".",".",".",".",".",".",".","."
"","007
132","26","3.469","26.9","15.4","11.5","3.8","3.8",".",".","38.5",".",".",".",".",".",".",".","."
"","132
008","20","3.000","15.0","10.0","35.0","10.0","15.0",".",".","15.0",".",".",".",".",".",".",".","."
"","132
009","22","3.700","50.0","27.3","13.6",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Weight Training","Course Total","192","3.466","27.6","19.8","15.1","1.6","3.6",".","0.5","30.7","0.5",".",".",".","0.5",".",".","."
"","133
001","16","3.583","18.8","37.5","12.5",".",".",".",".","25.0",".",".",".",".","6.3",".",".","."
"","133
002","25","3.150","12.0","36.0","20.0","4.0","4.0",".","4.0","20.0",".",".",".",".",".",".",".","."
"","133
003","23","3.658","47.8","17.4","13.0","4.3",".",".",".","17.4",".",".",".",".",".",".",".","."
"","133
004","25","3.594","28.0","20.0","16.0",".",".",".",".","36.0",".",".",".",".",".",".",".","."
"","133
005","17","3.708","47.1","5.9","17.6",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"","133
006","25","3.375","24.0","24.0","24.0","4.0","4.0",".",".","12.0","8.0",".",".",".",".",".",".","."
"","133
007","25","3.283","16.0","36.0","28.0","8.0","4.0",".",".","4.0","4.0",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","156","3.447","26.9","25.6","19.2","3.2","1.9",".","0.6","19.9","1.9",".",".",".","0.6",".",".","."
"","134
001","25","3.423","20.0","28.0",".",".",".",".","4.0","44.0",".",".",".",".",".",".",".","4.0"
"","134
002","17","3.636","17.6","47.1",".",".",".",".",".","35.3",".",".",".",".",".",".",".","."
