"TERM : 1004","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 1999-2000","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMEDICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","","","",""
"B M E
207","Dept. Total","162","3.532","38.9","26.5","21.0","2.5","1.2","",".","",".","8.6","",".",".","",".","1.2",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","15","3.440","40.0","33.3","20.0","6.7",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","65","3.520","44.6","26.2","24.6","3.1","1.5","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","35","3.487","34.3","40.0","22.9",".","2.9","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","115","3.500","40.9","31.3","23.5","2.6","1.7","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","63","3.609","49.2","11.1","11.1","1.6",".","",".","",".","22.2","",".",".","",".","3.2","1.6",".",".","."
"","Dept. Total","178","3.532","43.8","24.2","19.1","2.2","1.1","",".","",".","7.9","",".",".","",".","1.1","0.6",".",".","."
