"REHABILITATION MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"840
RHAB MED","","","","","","","","","","","","","","","","","","","",""
"820","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"820","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"820","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"820","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Med Selective","Course Total","","5","***","","","","","","","","","","","","","","","",""
"920","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.833","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","18","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","010","","17","3.353","29.4","23.5","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"920","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehabilitatn Med Clerk-CSC","Course Total","","42","3.450","23.8","40.5","33.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
