"","775
026","3","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","775
030","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","775
032","3","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Externship","Course Total","33","4.000","6.1",".",".",".",".","",".","",".","93.9","",".",".","",".",".","",".",".",".","."
"MED SC-V
623","Dept. Total","840","3.345","20.6","5.8","7.6","0.4","1.9","",".","",".","61.5","",".","0.7","",".","1.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","","","","",""
"Graduate","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 1","","222","3.500","11.3","14.9","9.0","0.5","0.5","",".","",".","59.5","",".",".","",".","4.5","",".",".",".","."
"Prof Yr 2","","11","4.000","9.1",".",".",".",".","",".","",".","72.7","",".",".","",".","18.2","",".",".",".","."
"Prof Yr 3","","168","2.980","4.2","9.5","26.2","1.2","8.9","",".","",".","50.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","436","4.000","31.4",".",".",".",".","",".","",".","67.2","",".","1.4","",".",".","",".",".",".","."
"Professionals","","837","3.341","20.3","5.9","7.6","0.4","1.9","",".","",".","61.8","",".","0.7","",".","1.4","",".",".",".","."
"","Dept. Total","840","3.345","20.6","5.8","7.6","0.4","1.9","",".","",".","61.5","",".","0.7","",".","1.4","",".",".",".","."
