"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"105","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","7","3.722","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Pharmacists/Health Care Sys","001","","118","3.025","14.4","29.7","19.5","21.2","14.4","0.8",".",".",".",".",".",".",".",".",".","."
"511
Pharmacy Law and Regulation","001","","97","3.119","10.3","34.0","35.1","14.4","5.2",".","1.0",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem:Social & Behav Phcy","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Pharm Finance&Reimbursement","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Pharm Communicatn:Edu&Behav","001","","100","3.215","19.0","21.0","45.0","14.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"699","012","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716
Adv Hospital Phm Admin","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"912
Conference-Research Workers","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","11","",".",".",".",".",".",".",".","81.8",".",".",".","18.2",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
