"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"799","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.971","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Assess Mthd-Speech/Lang Dis","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"813
Com Dis Medical Setting","001","","40","3.663","37.5","52.5","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"819
Deviant Phonologal Acquistn","001","","43","3.860","72.1","27.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"822
Electrophysiolog Audiometry","001","","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"831
Amplification Systems","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"833
Occupational Audiology","001","","17","3.875","76.5","11.8","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"834
Counseling in Audiology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Lang Probs-Schl Age Chldrn","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Science","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar-Speech Pathology","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Seminar-Auditory Disorders","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Lang Pathology-Children","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Lang Pathology-Adults","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"945
Smr: Language & Cognition","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"999","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
