"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"420
Phys/Chem Principles of Drugs","001","","98","3.270","24.5","26.5","31.6","13.3","4.1",".",".",".",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","98","3.750","73.5","12.2","8.2","5.1",".","1.0",".",".",".",".",".",".",".",".",".","."
"493
Selected Topics-Pharm Sci","001","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
Pharmacology I","001","","136","3.596","50.0","24.3","22.1","2.2","1.5",".",".",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","123","3.427","32.5","30.1","29.3","6.5","1.6",".",".",".",".",".",".",".",".",".",".","."
"542
Parenteral Therapy & Nutrition","001","","124","3.843","75.8","16.9","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","21","3.714","61.9","19.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","111","3.721","64.9","22.5","6.3","4.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750","001","","12","3.708","75.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"750","002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Drug Development Process","Course Total","","22","3.818","81.8","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"751","001","","25","3.860","76.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"751","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Reg Practice","Course Total","","34","3.897","82.4","14.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"759
Trends in Drug Disc/Dev","001","","41","3.695","56.1","31.7","9.8",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"766
Molecular Recognition","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"768","001","","10","3.200","30.0","40.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"768","002","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacokinetics","Course Total","","23","3.478","39.1","43.5","8.7",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"780
Principles of Pharmaceut Sci","001","","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"931","001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","002","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","003","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","63","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
