"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Criminology","441","001","","95","3.079","32.6","11.6","24.2","12.6","14.7","3.2","1.1",".",".",".",".",".",".",".",".","."
"","475","001","","19","3.156","21.1","21.1","10.5","26.3","5.3",".",".",".",".",".",".",".","5.3","10.5",".","."
"","475","002","","31","3.683","48.4","38.7","6.5","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"Classical Soc Theory","","Course Total","","50","3.500","38.0","32.0","8.0","12.0","2.0",".",".",".",".",".",".",".","4.0","4.0",".","."
"Contemporary Soc Theory","476","001","","12","2.773","25.0",".","25.0","8.3","25.0","8.3",".",".",".",".",".",".",".","8.3",".","."
"","496","001","","14","3.750","50.0","28.6","7.1",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"","496","009","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","25","3.824","72.0","16.0","4.0",".",".",".",".","4.0",".",".",".",".","4.0",".",".","."
"Public Hlth-Rural & Urban Comm","533","001","","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Talk and Social Interaction","535","001","","32","3.531","75.0","3.1","6.3","3.1","6.3","3.1","3.1",".",".",".",".",".",".",".",".","."
"Envir Stwrdshp & Soc Justice","541","001","","12","3.182","33.3","8.3","25.0","8.3","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"Political Sociology","624","001","","13","3.577","69.2",".","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","21","3.325","28.6","33.3","14.3","9.5","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"Sociology of Organizations","632","001","","19","3.382","42.1","26.3","5.3","10.5",".",".","5.3","5.3",".",".",".",".","5.3",".",".","."
"Sociology of the Family","640","001","","22","3.773","59.1","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Crimnl Justice Fld Observtn","694","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Intro Prosmr-Grad Students","700","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intmed Soc Psych-Indiv&Scty","730","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Methods-Sociology","750","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","797","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Sociological Theory","915","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Social Stratification","923","001","","11","4.000","72.7",".",".",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"Seminar-Political Sociology","924","001","","15","4.000","73.3",".",".",".",".",".",".",".",".",".",".",".","26.7",".",".","."
"Smr: Sociol-Econ Change","940","001","","11","3.875","27.3","9.1",".",".",".",".",".",".",".",".",".",".","63.6",".",".","."
"Seminar-Rural Sociology","945","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Environmental Sociol","948","002","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
