"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Meth & Prac Dance & Gymnastics","371","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth & Prac of Sport","373","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Princpls-Exercise Leadershp","390","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","013","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","41","4.000","97.6",".",".",".",".",".",".",".",".",".",".",".",".",".","2.4","."
"Org & Admin of Phy Ed","412","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","6","3.167","16.7",".","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Athl Healthcare Contemp Persp","487","001","","59","3.814","81.4","11.9","3.4","1.7",".",".","1.7",".",".",".",".",".",".",".",".","."
"Theory Health Programs","501","001","","32","3.922","90.6","6.3",".","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","","15","3.143","13.3","20.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".","6.7",".","."
"Prin. Strength & Conditioning","527","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Skills for Health","547","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sports Sci & Athlete Monitor","555","001","","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promoting Community Health","566","001","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Health Education","568","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Exercise Psychology","600","001","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics","618","001","","26","3.250","23.1","23.1","34.6","19.2",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Practicm in Athl Train II","621","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Athl Training Preceptorship I","624","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found Prof Pract in Athl Train","650","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Hlth, Policy, and Pract","651","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval and Therapeutic Interv I","652","001","","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Med Athl Training I","654","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Role Trans & Prof Pract in AT","657","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
