"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","199","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","204","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","216","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","230","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","245","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","246","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","249","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","265","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","269","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","270","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","101","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"902","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"902","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Transl Research Elective","Course Total","","5","***","","","","","","","","","","","","","","","",""
"903","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"903","103","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 396 of 467",""
