"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","Section","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE
632","Dept. Total","447","4.000","21.3","",".","",".","",".","",".","",".","",".","75.8","0.2",".","",".","",".","",".",".","2.5","0.2"
"Summary by Level","","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","12","4.000","83.3","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".","16.7","."
"Junior","","42","4.000","97.6","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".","2.4","."
"Senior","","47","4.000","93.6","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".","6.4","."
"Undergraduates","","101","4.000","94.1","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".","5.9","."
"Graduate","","31","",".","",".","",".","",".","",".","",".","",".","87.1",".",".","",".","",".","",".",".","12.9","."
"Prof Yr 3","","45","",".","",".","",".","",".","",".","",".","",".","97.8",".",".","",".","",".","",".",".","2.2","."
"Prof Yr 4","","270","",".","",".","",".","",".","",".","",".","",".","99.3","0.4",".","",".","",".","",".",".",".","0.4"
"Professionals","","315","",".","",".","",".","",".","",".","",".","",".","99.0","0.3",".","",".","",".","",".",".","0.3","0.3"
"","Dept. Total","447","4.000","21.3","",".","",".","",".","",".","",".","",".","75.8","0.2",".","",".","",".","",".",".","2.5","0.2"
