"TERM : 1232","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2022-2023","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACOLOGY","","Section
#","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"724","PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","","","",""
"724","PHMCOL-M","87
Dept. Total","3.981","55.2","",".","1.1","",".","",".","",".","",".","35.6","",".",".","",".","3.4","",".",".","4.6","."
"Summary by Level","","#","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"724","PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Senior","1","***","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
