"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","100
001","49","3.837","83.7","6.1","6.1","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","002
100","49","3.653","69.4","12.2","14.3",".",".","2.0","2.0",".",".",".",".",".",".",".",".","."
"","100
003","50","3.850","82.0","8.0","8.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","50","3.810","84.0","6.0","4.0","4.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"","100
005","49","3.896","89.8","4.1","2.0",".",".","2.0",".","2.0",".",".",".",".",".",".",".","."
"","100
006","50","3.890","92.0","2.0","4.0",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"","100
007","100","3.840","86.0","8.0","3.0",".","1.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"Disability and Society","Course Total","397","3.827","84.1","6.8","5.5","1.0","0.5","1.3","0.5","0.3",".",".",".",".",".",".",".","."
"","001
121","43","3.907","90.7","4.7","2.3",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","121
002","46","3.978","93.5","4.3",".",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"Disability and Substance Abuse","Course Total","89","3.943","92.1","4.5","1.1",".","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"","125
001","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
003","41","3.866","90.2","7.3",".",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Health & Rhabilitatn Prfessns","Course Total","121","3.946","95.0","4.1",".",".",".",".","0.8",".",".",".",".",".",".",".",".","."
"Issues in Special Education","200
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Disability Experience","210
001","19","3.895","89.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","77","3.966","93.5","1.3",".",".","1.3",".",".",".",".",".",".",".","3.9",".",".","."
"","300
002","99","3.893","87.9","4.0","5.1","1.0","1.0",".",".",".",".",".",".",".","1.0",".",".","."
"","300
003","95","3.868","89.5","5.3","1.1","2.1","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","271","3.904","90.0","3.7","2.2","1.1","1.1",".","0.4",".",".",".",".",".","1.5",".",".","."
"","310
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","25","3.917","80.0","16.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","310
003","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Positive Psych and Well Being","Course Total","71","3.971","93.0","5.6",".",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"","316
001","44","3.989","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
002","45","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Prmtion Disab & Illness","Course Total","89","3.927","88.8","7.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Self Mngmt Illness, Disability","Course Total","55","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
001","39","3.885","84.6","10.3","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","330
002","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","Course Total","64","3.922","89.1","7.8","1.6","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sport Psychology","335
001","35","3.824","82.9","5.7",".","5.7","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"Tching Math in Inclusive Set","365
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race, Intersection & Equity","406
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Overview ECSE","435
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis and Assessment","464
001","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465
001","22","3.725","63.6","4.5","22.7",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","465
002","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
