"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"306
Transitions: Pract & Prof","001","","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"407","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"407","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations Prof Nursing Pract","Course Total","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"441","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"441","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"441","003","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chronic Care Management","Course Total","","10","3.450","30.0","50.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"446","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"446","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Nrsg Research & EB Practice","Course Total","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"447","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"447","003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Management","Course Total","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"453","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"453","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Mgt & Hlthcare Tech","Course Total","","4","***","","","","","","","","","","","","","","","",""
"454","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"454","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"454","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"490","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"490","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","11","3.682","72.7","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"519
Capstone Practicum for RNs","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
