"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"619
Microscopy of Life","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch Radiology","Course Total","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","003","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","004","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","005","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","006","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","007","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Elective","Course Total","","60","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"923
Clinical Nuclear Med Elective","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Radiology Elective","Course Total","","5","***","","","","","","","","","","","","","","","",""
"926","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"926","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interventional Radiology","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"928
Screening in Radiology","007","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
