"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Nonprescr. Meds & Self-Care","438","001","99","3.158","19.2","25.3","25.3","14.1","8.1","1.0",".",".",".",".",".",".","7.1",".",".","."
"Pathways in Pharmacy Practice","461","001","98","3.944","89.8","9.2","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement II","463","001","123","",".",".",".",".",".",".",".",".",".","99.2","0.8",".",".",".",".","."
"Expl Pharm Peer Mentor Seminar","471","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phm Prac Experiences II","526","001","123","3.789","75.6","16.3","4.9","1.6",".","0.8","0.8",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550","001","61","3.959","93.4","4.9","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pharmacokinetics","551","001","123","3.057","20.3","21.1","23.6","29.3","3.3",".","2.4",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills I","553","001","123","3.935","88.6","9.8","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555","001","123","2.980","13.8","22.8","25.2","25.2","11.4","1.6",".",".",".",".",".",".",".",".",".","."
"Antimicrobial Stewadship","560","001","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Imaging for Pharmacist","611","001","40","3.838","72.5","22.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phm Prac Experiencs III","625","001","98","3.969","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice Innovation I","628","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprescrip Prod & Self-Care","638","001","97","3.458","34.0","29.9","26.8","6.2","1.0",".",".",".",".",".",".",".","2.1",".",".","."
"Comprehnsv Immunizatn Delivery","650","001","100","3.404","34.0","28.0","26.0","6.0","5.0",".",".",".",".",".",".",".",".",".",".","1.0"
"Pharmacotherapy Skills III","653","001","98","3.929","86.7","12.2","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655","001","98","3.250","23.5","31.6","27.6","10.2","6.1",".","1.0",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","057","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","31","4.000","96.8",".",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"","740","004","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","005","19","3.816","84.2","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","33","3.879","87.9","6.1","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","741","004","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","005","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","170","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","741","172","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741","270","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","","Course Total","36","3.861","83.3","11.1","2.8",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","742","004","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
