"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"451
Intro to SAS Prog for Pop Hlth","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"502
Air Pollution&Human Health","001","","68","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"548
Economics of Health Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"551
Intro to Biostats for Pop Hlth","002","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Special Topics","090","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
"709
Translat'l & Outcomes Research","002","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Integrating Med and PH","001","","67","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"721
Conspiracies in Public Health","001","","69","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"728
Climate Change Medicine","009","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"750
Cancer Epidemiology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Principles-Populatn Health Sci","002","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"797","005","","21","3.619","42.9","38.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"797","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Epidemiology","Course Total","","26","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Adv. Epi: Causal Inference","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"848
Health Economics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Genetic Epidemiology","003","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Cost Eff. Analysis Healthcare","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","Course Total","","13","4.000","23.1",".",".",".",".",".",".","69.2",".",".",".",".","7.7",".",".","."
"955
Smr-Phys Activity Epidemiology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
