"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"401
History of Pharmacy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"411
Pharmacy and Health System","001","","98","3.469","41.8","26.5","20.4","8.2","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"699","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"702
Intro to Mixed Methods","001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"711
Resrch Mthds Phm Outcms/Policy","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","","164","3.583","50.0","18.9","12.8","4.9","1.8","0.6",".","9.8",".",".",".",".",".","0.6","0.6","."
