"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","152","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","299","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","21","3.915","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Phase 3 Clinical","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
