"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"681","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","20","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"699
Directed Study in Nursing","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702
Hlth Promo&Disease Prevention","001","","33","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Ldrshp in Adv Practc Nursing I","001","","35","3.957","94.3","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"706","001","","42","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Nursing Research","Course Total","","44","3.966","93.2","6.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Leadership Foundations in Nurs","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"711
Business Concept in Healthcare","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Hlth Sys Ldrship Practicum I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"715
Eval of Hlth Inform Solutions","004","","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Population Health Practicum I","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"722
Adv Prac Nursing Thry: Adults","001","","27","3.852","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"723
Pop Health Theory & Methods I","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"726","010","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726","020","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"726","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"726","060","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract I","Course Total","","34","3.853","73.5","23.5","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","010","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"728","020","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","021","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"728","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"728","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"728","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev I","Course Total","","34","3.938","88.2","5.9","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"730
Critical Soc Theo in Pop Hlth","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"741
Adv Prac Nrsg Thry-Famly&Child","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"746","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"746","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","","3","***","","","","","","","","","","","","","","","",""
"751
Adv Prac Nrsg Thry-Psychiatric","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"787
Nursing Education Practicum","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"804
Advanced Qualitative Design","001","","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"811
Advanced Pathophysiology","001","","37","3.472","18.9","54.1","24.3",".",".",".",".",".",".",".",".",".",".",".",".","2.7"
"815
Knowledge Developmt in Nursing","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"816","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","Page 444 of 467",""
