"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gender, Women & Society-Global","102","001","227","3.770","85.5","6.6","1.3","1.3","1.3","0.4","3.1",".",".",".",".",".","0.4",".",".","."
"","103","001","477","3.835","80.3","13.0","3.4","1.5","1.0","0.2","0.4",".",".",".",".",".","0.2",".",".","."
"","103","002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103","003","10","2.950","60.0","10.0",".",".",".","20.0","10.0",".",".",".",".",".",".",".",".","."
"","103","004","36","3.458","36.1","33.3","19.4","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"Gender Women Bodies and","","Course Total","545","3.801","77.8","13.8","4.2","1.8","1.1","0.6","0.6",".",".",".",".",".","0.2",".",".","."
"Women in World History","134","001","46","3.091","21.7","23.9","32.6","10.9",".",".","6.5",".",".",".",".",".","4.3",".",".","."
"Women's Writing","144","002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","126","3.571","55.6","22.2","11.9","4.8","4.0","1.6",".",".",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","14","3.357","64.3","14.3",".",".","7.1","14.3",".",".",".",".",".",".",".",".",".","."
"Women, Gender and Religion","305","001","27","3.481","40.7","44.4","7.4",".","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","14","3.393","35.7","21.4","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Gender/Class/Race/Ethn(Hum)","330","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","331","001","37","3.595","75.7","10.8",".","5.4","2.7",".","5.4",".",".",".",".",".",".",".",".","."
"","331","002","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gend/Class/Race/Ethn-SocSci","","Course Total","57","3.711","80.7","8.8","1.8","3.5","1.8",".","3.5",".",".",".",".",".",".",".",".","."
"Latinas: Self Ident&Social Chg","332","001","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transgender Studies","342","001","40","3.597","55.0","15.0","12.5","2.5","2.5","2.5",".",".",".",".",".",".","7.5","2.5",".","."
"Queer Bodies","343","001","43","4.000","95.3",".",".",".",".",".",".",".",".",".",".",".","4.7",".",".","."
"Bi/Pan/Asexuality","344","001","39","3.514","43.6","38.5","2.6","2.6","5.1",".","2.6",".",".",".",".",".","5.1",".",".","."
"Women in the Classical World","351","001","44","3.693","50.0","38.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visionary and Speculative Fict","359","001","36","3.792","80.6","13.9","2.8",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"Disability, Gender & Sexuality","374","001","18","3.250","44.4","27.8","11.1",".","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"Race, Sex, and Texts","401","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender and Visual Culture","410","001","39","3.731","74.4","10.3","10.3","2.6",".","2.6",".",".",".",".",".",".",".",".",".","."
"Gender Sexuality & the Media","418","001","31","3.274","22.6","35.5","32.3","6.5",".",".","3.2",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","21","3.500","42.9","28.6","14.3",".","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"The Female Body in the World","423","001","43","3.845","76.7","16.3","2.3",".","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"Crime, Gender and Justice","425","001","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437","001","9","3.500","77.8","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","449","001","38","3.961","92.1","7.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449","002","38","3.811","71.1","21.1","2.6",".","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Topics in Feminist Theory","","Course Total","76","3.887","81.6","14.5","1.3",".","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"","533","002","30","3.633","46.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","533","003","23","3.739","56.5","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Gender & Biology","","Course Total","53","3.679","50.9","37.7","7.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Global Health","535","001","35","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender and Health","539","001","26","3.269","23.1","34.6","19.2","19.2","3.8",".",".",".",".",".",".",".",".",".",".","."
